company_number,company_name,company_status,company_type,date_of_creation,date_of_cessation,sic_codes,postcode,has_charges,has_been_liquidated,n_officers_total,n_officers_active,n_filings_total,n_filings_year1
07133629,IP MULTIHOME LIMITED,active,ltd,2010-01-22,,"['62030', '63110', '68209', '77330']",SK9 4GB,False,False,5,2,61,4
07476916,PHEMACARE LTD,active,ltd,2010-12-22,,['82990'],B16 8XF,False,False,3,1,38,2
07254205,ALVAGO LIMITED,active,ltd,2010-05-14,,['70229'],WC2H 7HF,False,False,2,2,40,2
07251316,MARYLANDS CONSULTING LIMITED,active,ltd,2010-05-12,,['82990'],CB9 8AD,False,False,1,1,35,1
SC383057,LORNAL LIMITED,active,ltd,2010-08-03,,['70229'],G84 9BJ,False,False,1,1,30,1
07348485,ECCENTRIC O LTD,active,ltd,2010-08-17,,['90030'],MK10 7AA,False,False,1,1,38,1
07119394,LENUS GLOBAL LTD.,active,ltd,2010-01-07,,"['86220', '96090']",LE3 9QW,False,False,2,2,46,2
07249747,PUPPY MOUSE LIMITED,active,ltd,2010-05-11,,['82990'],PE28 0HW,False,False,2,2,32,2
07149870,REFRIGERATION GASES LTD,active,ltd,2010-02-08,,['99999'],WA3 1HR,False,False,3,2,36,2
07152511,R M TECHNICAL CONSULTANTS LIMITED,active,ltd,2010-02-10,,['96090'],DN15 7PA,False,False,2,2,38,1
07346690,BEAVER GREEN MANAGEMENT LIMITED,active,ltd,2010-08-16,,['81100'],NG2 7QA,False,False,8,4,54,8
07259800,PKSV LEISURE LIMITED,active,ltd,2010-05-20,,['56302'],RG1 8EQ,False,False,3,1,40,1
07138634,MABEL COMMUNICATIONS LTD,active,ltd,2010-01-28,,['73110'],SW4 6JU,False,False,1,1,32,1
07246983,RMH PROJECT MANAGEMENT LIMITED,active,ltd,2010-05-07,,['82990'],WN7 3DN,False,False,1,1,31,1
07140261,PIER CONTRACTORS LIMITED,active,ltd,2010-01-29,,['43999'],EC1V 1LJ,False,False,7,3,60,5
07315694,AGIPSON INCORPORATION LTD,active,ltd,2010-07-15,,['62020'],SS17 0GF,False,False,1,1,37,1
07252872,CHARLES DURRANS TANKERS LIMITED,active,ltd,2010-05-13,,['82990'],S75 4BB,False,False,2,1,37,1
SC388189,PAULA VEVERKA PHOTOGRAPHY LTD,active,ltd,2010-11-04,,['74202'],G1 3NQ,False,False,4,1,40,6
SC384296,GLENQUEST LIMITED,active,ltd,2010-08-25,,['70221'],G2 4HB,False,False,8,5,41,9
NI603275,A G WILSON LIMITED,active,ltd,2010-05-26,,['42990'],BT63 5NU,False,False,5,5,44,1
NI602650,FLYNN & COMPANY ACCOUNTANTS LIMITED,active,ltd,2010-03-26,,['69201'],BT62 3EP,False,False,4,2,41,1
07121808,AVONPARK VILLAGE (CARE HOMES) LIMITED,active,ltd,2010-01-11,,['82990'],SW1W 0AU,False,False,30,4,141,0
07290412,ASPULL ENTERTAINMENTS LTD,active,ltd,2010-06-21,,['56301'],WN2 1PX,False,False,1,1,43,1
07243897,PINECREST INVESTMENTS LTD,active,ltd,2010-05-05,,['68209'],LU3 3FH,False,False,1,1,41,4
