company_number,n_filings_total,n_filings_year1
OC369103,65,2
OC371030,39,5
OC363851,43,8
SO303440,40,8
OC364013,42,2
OC369263,52,2
OC362639,44,4
OC370744,65,5
OC370279,34,4
OC369637,42,1
OC368762,36,3
OC366648,44,1
OC366862,47,2
OC366896,30,2
OC366408,37,4
OC368843,967,0
OC366845,53,1
OC369094,52,3
OC366732,39,2
OC366369,39,3
OC366216,32,2
OC364091,59,2
OC367082,52,4
OC362624,38,1
OC367603,38,6
OC366999,53,4
OC366887,45,1
OC364628,34,3
OC369355,42,1
OC369340,46,1
OC366966,37,1
OC367233,38,1
OC367081,32,1
OC364037,33,1
OC366991,33,2
OC361169,261,0
OC366243,39,2
OC367250,36,1
OC366323,32,1
OC366414,34,1
OC370818,38,1
OC370602,34,1
OC362437,43,2
OC365420,32,3
OC367075,31,1
NC000749,40,2
NC000750,37,2
OC365819,47,2
OC365982,35,1
SO303405,37,1
OC366026,42,1
OC365777,37,2
OC365315,49,2
OC367500,50,3
OC368411,37,1
OC365949,43,1
OC369236,29,1
OC367399,47,2
SO303547,37,2
OC369486,244,0
OC365886,10,1
OC367617,44,3
OC368170,43,1
OC363204,35,1
OC369492,35,2
OC370766,82,3
OC369676,47,1
OC362882,32,2
OC370981,33,1
OC369142,60,3
OC369806,47,1
OC363494,46,1
OC368504,35,1
OC364593,73,2
SO303685,34,1
OC368595,36,4
NI608105,15,1
NI608945,7,1
NI608072,32,4
NI608916,17,5
NI609273,19,1
NI609388,9,1
NI610084,13,1
NI607985,39,1
NI610326,17,6
NI609984,16,1
NI610357,12,1
NI610394,19,3
NI610128,25,1
NI606625,21,2
NI610325,13,6
NI610491,12,1
NI608417,16,1
NI609985,26,1
NI610419,8,1
NI610482,10,1
NI608081,17,2
NI610476,12,1
NI607910,24,3
NI609562,12,1
NI608760,13,2
NI609278,20,8
NI609855,32,4
NI609920,30,5
NI609502,16,1
NI610031,18,1
NI609560,24,1
NI609580,9,2
NI609601,14,1
